candle_ts,open,high,low,close,volume
2026-02-02T14:30:00+00:00,100.000000,100.600000,99.600000,100.600000,8000
2026-02-02T14:31:00+00:00,100.600000,100.770000,100.560000,100.720000,8000
2026-02-02T14:32:00+00:00,100.720000,100.890000,100.680000,100.840000,8000
2026-02-02T14:33:00+00:00,100.840000,101.010000,100.800000,100.960000,8000
2026-02-02T14:34:00+00:00,100.960000,101.130000,100.920000,101.080000,8000
2026-02-02T14:35:00+00:00,101.080000,101.250000,101.040000,101.200000,8000
2026-02-02T14:36:00+00:00,101.200000,101.370000,101.160000,101.320000,8000
2026-02-02T14:37:00+00:00,101.320000,101.490000,101.280000,101.440000,8000
2026-02-02T14:38:00+00:00,101.440000,101.610000,101.400000,101.560000,8000
2026-02-02T14:39:00+00:00,101.560000,101.730000,101.520000,101.680000,8000
2026-02-02T14:40:00+00:00,101.680000,101.850000,101.640000,101.800000,8000
2026-02-02T14:41:00+00:00,101.800000,101.970000,101.760000,101.920000,8000
2026-02-02T14:42:00+00:00,101.920000,102.090000,101.880000,102.040000,8000
2026-02-02T14:43:00+00:00,102.040000,102.210000,102.000000,102.160000,8000
2026-02-02T14:44:00+00:00,102.160000,102.330000,102.120000,102.280000,8000
2026-02-02T14:45:00+00:00,102.280000,102.450000,102.240000,102.400000,8000
2026-02-02T14:46:00+00:00,102.400000,102.570000,102.360000,102.520000,8000
2026-02-02T14:47:00+00:00,102.520000,102.690000,102.480000,102.640000,8000
2026-02-02T14:48:00+00:00,102.640000,102.810000,102.600000,102.760000,8000
2026-02-02T14:49:00+00:00,102.760000,102.930000,102.720000,102.880000,8000
2026-02-02T14:50:00+00:00,102.880000,103.050000,102.840000,103.000000,8000
2026-02-02T14:51:00+00:00,103.000000,103.170000,102.960000,103.120000,8000
2026-02-02T14:52:00+00:00,103.120000,103.290000,103.080000,103.240000,8000
2026-02-02T14:53:00+00:00,103.240000,103.410000,103.200000,103.360000,8000
2026-02-02T14:54:00+00:00,103.360000,103.530000,103.320000,103.480000,8000
2026-02-02T14:55:00+00:00,103.480000,103.650000,103.440000,103.600000,8000
2026-02-02T14:56:00+00:00,103.600000,103.770000,103.560000,103.720000,8000
2026-02-02T14:57:00+00:00,103.720000,103.890000,103.680000,103.840000,8000
2026-02-02T14:58:00+00:00,103.840000,104.010000,103.800000,103.960000,8000
2026-02-02T14:59:00+00:00,103.960000,104.130000,103.920000,104.080000,8000
