candle_ts,open,high,low,close,volume
2026-02-02T14:30:00+00:00,100.000000,100.160000,99.940000,100.100000,6000
2026-02-02T14:31:00+00:00,100.100000,100.180000,100.040000,100.120000,6000
2026-02-02T14:32:00+00:00,100.120000,100.240000,100.060000,100.180000,6000
2026-02-02T14:33:00+00:00,100.180000,100.340000,100.120000,100.280000,6000
2026-02-02T14:34:00+00:00,100.280000,100.360000,100.220000,100.300000,6000
2026-02-02T14:35:00+00:00,100.300000,100.420000,100.240000,100.360000,6000
2026-02-02T14:36:00+00:00,100.360000,100.520000,100.300000,100.460000,6000
2026-02-02T14:37:00+00:00,100.460000,100.540000,100.400000,100.480000,6000
2026-02-02T14:38:00+00:00,100.480000,100.600000,100.420000,100.540000,6000
2026-02-02T14:39:00+00:00,100.540000,100.700000,100.480000,100.640000,6000
2026-02-02T14:40:00+00:00,100.640000,100.720000,100.580000,100.660000,6000
2026-02-02T14:41:00+00:00,100.660000,100.780000,100.600000,100.720000,6000
2026-02-02T14:42:00+00:00,100.720000,100.880000,100.660000,100.820000,6000
2026-02-02T14:43:00+00:00,100.820000,100.900000,100.760000,100.840000,6000
2026-02-02T14:44:00+00:00,100.840000,100.960000,100.780000,100.900000,6000
2026-02-02T14:45:00+00:00,100.900000,101.060000,100.840000,101.000000,6000
2026-02-02T14:46:00+00:00,101.000000,101.080000,100.940000,101.020000,6000
2026-02-02T14:47:00+00:00,101.020000,101.140000,100.960000,101.080000,6000
2026-02-02T14:48:00+00:00,101.080000,101.240000,101.020000,101.180000,6000
2026-02-02T14:49:00+00:00,101.180000,101.260000,101.120000,101.200000,6000
2026-02-02T14:50:00+00:00,101.200000,101.320000,101.140000,101.260000,6000
2026-02-02T14:51:00+00:00,101.260000,101.420000,101.200000,101.360000,6000
2026-02-02T14:52:00+00:00,101.360000,101.440000,101.300000,101.380000,6000
2026-02-02T14:53:00+00:00,101.380000,101.500000,101.320000,101.440000,6000
2026-02-02T14:54:00+00:00,101.440000,101.600000,101.380000,101.540000,6000
2026-02-02T14:55:00+00:00,101.540000,101.620000,101.480000,101.560000,6000
2026-02-02T14:56:00+00:00,101.560000,101.680000,101.500000,101.620000,6000
2026-02-02T14:57:00+00:00,101.620000,101.780000,101.560000,101.720000,6000
2026-02-02T14:58:00+00:00,101.720000,101.800000,101.660000,101.740000,6000
2026-02-02T14:59:00+00:00,101.740000,101.860000,101.680000,101.800000,6000
2026-02-02T15:00:00+00:00,101.800000,101.960000,101.740000,101.900000,6000
2026-02-02T15:01:00+00:00,101.900000,101.980000,101.840000,101.920000,6000
2026-02-02T15:02:00+00:00,101.920000,102.040000,101.860000,101.980000,6000
2026-02-02T15:03:00+00:00,101.980000,102.140000,101.920000,102.080000,6000
2026-02-02T15:04:00+00:00,102.080000,102.160000,102.020000,102.100000,6000
2026-02-02T15:05:00+00:00,102.100000,102.220000,102.040000,102.160000,6000
2026-02-02T15:06:00+00:00,102.160000,102.320000,102.100000,102.260000,6000
2026-02-02T15:07:00+00:00,102.260000,102.340000,102.200000,102.280000,6000
2026-02-02T15:08:00+00:00,102.280000,102.400000,102.220000,102.340000,6000
2026-02-02T15:09:00+00:00,102.340000,102.500000,102.280000,102.440000,6000
2026-02-02T15:10:00+00:00,102.440000,102.520000,102.380000,102.460000,6000
